data,1241748900,1156735.0;42858.0;1162943.0;48688.0;1.12996627591,2.0 0.0 109696;4.0 0.0 109697;4.0 0.0 109698;1.0 0.0 109699;2.0 0.0 109700;1.0 0.0 109701;2.0 0.0 109702;0.0 0.0 109703;20000.0 1115.0 109704;1.0 0.0 109706;0.0 0.0 109707;0.0 0.0 109708;0.0 0.0 109709;0.0 0.0 109710;41431.0 1791.0 109635;2.0 0.0 109651;19.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;3.0 0.0 109675;19896.0 642.0 109683;7.0 0.0 109689;40946.0 1619.0 109690,109696.0 2736;109697.0 2736;109698.0 2736;109699.0 2736;109700.0 2736;109701.0 2736;109702.0 2736;109703.0 2736;109704.0 2736;109706.0 2736;109707.0 2736;109708.0 2736;109709.0 2736;109710.0 2736;109635.0 2736;109651.0 2736;109660.0 2736;109667.0 2736;109673.0 2736;109675.0 2736;109683.0 2736;109689.0 2736;109690.0 2736,109696 125;109697 116;109698 119;109699 128;109700 123;109701 103;109702 116;109703 122;109704 128;109706 125;109707 124;109708 111;109709 130;109710 117;109635 108;109651 125;109660 136;109667 129;109673 107;109675 105;109683 109;109689 127;109690 103
data,1241752200,1166113.0;43157.0;1172499.0;49065.0;1.13070343487,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;9522.0 377.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 838;109698 849;109699 862;109700 897;109701 832;109702 898;109703 888;109704 882;109706 863;109707 870;109708 884;109709 839;109710 846;109635 861;109651 862;109660 860;109667 868;109673 880;109675 883;109683 909;109689 895;109690 891
data,1241752500,1166987.0;43182.0;1173335.0;49102.0;1.13094223051,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;10358.0 414.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 856;109697 849;109698 845;109699 899;109700 808;109701 891;109702 859;109703 877;109704 920;109706 889;109707 858;109708 849;109709 836;109710 831;109635 850;109651 901;109660 889;109667 809;109673 860;109675 942;109683 916;109689 889;109690 877
data,1241753100,1167881.0;43210.0;1174192.0;49145.0;1.13123946836,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;11215.0 457.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 886;109697 867;109698 855;109699 840;109700 882;109701 856;109702 808;109703 861;109704 838;109706 860;109707 886;109708 900;109709 857;109710 938;109635 866;109651 874;109660 817;109667 871;109673 905;109675 901;109683 874;109689 867;109690 891
data,1241753400,1168753.0;43241.0;1175063.0;49192.0;1.13151505879,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;12086.0 504.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 922;109697 829;109698 824;109699 866;109700 865;109701 889;109702 856;109703 874;109704 879;109706 902;109707 863;109708 882;109709 871;109710 876;109635 813;109651 885;109660 845;109667 834;109673 897;109675 882;109683 927;109689 876;109690 843
data,1241753700,1169698.0;43264.0;1175957.0;49214.0;1.13147327542,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;12980.0 526.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 876;109697 869;109698 847;109699 857;109700 830;109701 921;109702 863;109703 891;109704 902;109706 852;109707 826;109708 917;109709 894;109710 937;109635 882;109651 885;109660 813;109667 839;109673 839;109675 892;109683 845;109689 853;109690 870
data,1241754000,1170584.0;43291.0;1176847.0;49249.0;1.13157248258,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;13870.0 561.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 823;109699 852;109700 837;109701 848;109702 893;109703 895;109704 900;109706 873;109707 873;109708 838;109709 890;109710 882;109635 881;109651 828;109660 891;109667 894;109673 889;109675 851;109683 873;109689 890;109690 877
data,1241754300,1171445.0;43322.0;1177771.0;49299.0;1.13185464743,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;14794.0 611.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 876;109698 862;109699 829;109700 939;109701 908;109702 839;109703 842;109704 844;109706 847;109707 818;109708 906;109709 924;109710 915;109635 867;109651 865;109660 862;109667 848;109673 878;109675 892;109683 856;109689 876;109690 845
data,1241754900,1172328.0;43357.0;1178657.0;49335.0;1.13176851014,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;15680.0 647.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 848;109697 862;109698 910;109699 841;109700 878;109701 889;109702 871;109703 877;109704 835;109706 900;109707 875;109708 866;109709 886;109710 840;109635 893;109651 847;109660 838;109667 894;109673 880;109675 922;109683 886;109689 789;109690 873
data,1241755200,1173195.0;43386.0;1179509.0;49378.0;1.13201668438,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;16532.0 690.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 888;109698 847;109699 791;109700 869;109701 885;109702 898;109703 898;109704 857;109706 892;109707 862;109708 857;109709 852;109710 932;109635 865;109651 868;109660 868;109667 862;109673 916;109675 836;109683 843;109689 861;109690 876
data,1241755500,1174030.0;43408.0;1180362.0;49406.0;1.1320715925,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;17385.0 718.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 890;109698 875;109699 883;109700 919;109701 894;109702 871;109703 880;109704 860;109706 891;109707 849;109708 882;109709 853;109710 857;109635 864;109651 870;109660 834;109667 871;109673 853;109675 859;109683 912;109689 850;109690 802
data,1241756100,1174867.0;43442.0;1181283.0;49445.0;1.13200233149,3.0 0.0 109696;5.0 0.0 109697;5.0 0.0 109698;2.0 0.0 109699;3.0 0.0 109700;1.0 0.0 109701;5.0 0.0 109702;2.0 0.0 109703;20002.0 1115.0 109704;6.0 0.0 109706;1.0 0.0 109707;1.0 0.0 109708;18306.0 757.0 109709;2.0 0.0 109710;41433.0 1791.0 109635;2.0 0.0 109651;21.0 0.0 109660;40599.0 874.0 109667;2.0 0.0 109673;8.0 0.0 109675;19898.0 642.0 109683;9.0 0.0 109689;40946.0 1619.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 901;109698 858;109699 909;109700 815;109701 870;109702 862;109703 879;109704 834;109706 919;109707 906;109708 886;109709 921;109710 860;109635 915;109651 877;109660 842;109667 822;109673 849;109675 797;109683 855;109689 870;109690 910
