data,1241748900,1156589.0;43153.0;1163957.0;45051.0;1.03737448797,9110.0 357.0 109696;20692.0 534.0 109697;7.0 0.0 109698;2.0 0.0 109699;5.0 0.0 109700;3.0 0.0 109701;4.0 0.0 109702;3.0 0.0 109703;5.0 0.0 109704;1.0 0.0 109706;0.0 0.0 109707;0.0 0.0 109708;0.0 0.0 109709;0.0 0.0 109710;38602.0 1906.0 109635;19901.0 653.0 109651;15.0 0.0 109660;17.0 0.0 109667;8.0 0.0 109673;19653.0 953.0 109675;11.0 0.0 109683;9.0 0.0 109689;3.0 0.0 109690,109696.0 2736;109697.0 2736;109698.0 2736;109699.0 2736;109700.0 2736;109701.0 2736;109702.0 2736;109703.0 2736;109704.0 2736;109706.0 2736;109707.0 2736;109708.0 2736;109709.0 2736;109710.0 2736;109635.0 2736;109651.0 2736;109660.0 2736;109667.0 2736;109673.0 2736;109675.0 2736;109683.0 2736;109689.0 2736;109690.0 2736,109696 125;109697 116;109698 119;109699 128;109700 123;109701 103;109702 116;109703 122;109704 128;109706 125;109707 124;109708 111;109709 130;109710 117;109635 108;109651 125;109660 136;109667 129;109673 107;109675 105;109683 109;109689 127;109690 103
data,1241752200,1166152.0;43461.0;1173328.0;45336.0;1.03676233601,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;9337.0 285.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 838;109698 849;109699 862;109700 897;109701 832;109702 898;109703 888;109704 882;109706 863;109707 870;109708 884;109709 839;109710 846;109635 861;109651 862;109660 860;109667 868;109673 880;109675 883;109683 909;109689 895;109690 891
data,1241752500,1167070.0;43481.0;1174217.0;45369.0;1.03707036699,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;10226.0 318.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 856;109697 849;109698 845;109699 899;109700 808;109701 891;109702 859;109703 877;109704 920;109706 889;109707 858;109708 849;109709 836;109710 831;109635 850;109651 901;109660 889;109667 809;109673 860;109675 942;109683 916;109689 889;109690 877
data,1241753100,1167943.0;43513.0;1175084.0;45399.0;1.03700295809,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;11093.0 348.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 886;109697 867;109698 855;109699 840;109700 882;109701 856;109702 808;109703 861;109704 838;109706 860;109707 886;109708 900;109709 857;109710 938;109635 866;109651 874;109660 817;109667 871;109673 905;109675 901;109683 874;109689 867;109690 891
data,1241753400,1168851.0;43548.0;1175960.0;45430.0;1.03691015014,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;11969.0 379.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 922;109697 829;109698 824;109699 866;109700 865;109701 889;109702 856;109703 874;109704 879;109706 902;109707 863;109708 882;109709 871;109710 876;109635 813;109651 885;109660 845;109667 834;109673 897;109675 882;109683 927;109689 876;109690 843
data,1241753700,1169692.0;43574.0;1176813.0;45463.0;1.03703812706,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;12822.0 412.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 876;109697 869;109698 847;109699 857;109700 830;109701 921;109702 863;109703 891;109704 902;109706 852;109707 826;109708 917;109709 894;109710 937;109635 882;109651 885;109660 813;109667 839;109673 839;109675 892;109683 845;109689 853;109690 870
data,1241754000,1170552.0;43602.0;1177703.0;45491.0;1.03698865041,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;13712.0 440.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 860;109698 823;109699 852;109700 837;109701 848;109702 893;109703 895;109704 900;109706 873;109707 873;109708 838;109709 890;109710 882;109635 881;109651 828;109660 891;109667 894;109673 889;109675 851;109683 873;109689 890;109690 877
data,1241754300,1171356.0;43640.0;1178579.0;45515.0;1.03657328797,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;14588.0 464.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 862;109697 876;109698 862;109699 829;109700 939;109701 908;109702 839;109703 842;109704 844;109706 847;109707 818;109708 906;109709 924;109710 915;109635 867;109651 865;109660 862;109667 848;109673 878;109675 892;109683 856;109689 876;109690 845
data,1241754900,1172233.0;43664.0;1179368.0;45541.0;1.03667744049,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;15377.0 490.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 848;109697 862;109698 910;109699 841;109700 878;109701 889;109702 871;109703 877;109704 835;109706 900;109707 875;109708 866;109709 886;109710 840;109635 893;109651 847;109660 838;109667 894;109673 880;109675 922;109683 886;109689 789;109690 873
data,1241755200,1173181.0;43698.0;1180229.0;45572.0;1.03665743661,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;16238.0 521.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 877;109697 888;109698 847;109699 791;109700 869;109701 885;109702 898;109703 898;109704 857;109706 892;109707 862;109708 857;109709 852;109710 932;109635 865;109651 868;109660 868;109667 862;109673 916;109675 836;109683 843;109689 861;109690 876
data,1241755500,1174040.0;43730.0;1181079.0;45594.0;1.03641135768,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;17088.0 543.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 881;109697 890;109698 875;109699 883;109700 919;109701 894;109702 871;109703 880;109704 860;109706 891;109707 849;109708 882;109709 853;109710 857;109635 864;109651 870;109660 834;109667 871;109673 853;109675 859;109683 912;109689 850;109690 802
data,1241756100,1174923.0;43755.0;1181949.0;45625.0;1.03653950147,9110.0 357.0 109696;20694.0 534.0 109697;10.0 0.0 109698;2.0 0.0 109699;7.0 0.0 109700;7.0 0.0 109701;4.0 0.0 109702;5.0 0.0 109703;5.0 0.0 109704;4.0 0.0 109706;2.0 0.0 109707;2.0 0.0 109708;2.0 0.0 109709;2.0 0.0 109710;38605.0 1906.0 109635;19904.0 653.0 109651;17.0 0.0 109660;20.0 0.0 109667;11.0 0.0 109673;19656.0 953.0 109675;12.0 0.0 109683;17958.0 574.0 109689;4.0 0.0 109690,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000,109696 843;109697 901;109698 858;109699 909;109700 815;109701 870;109702 862;109703 879;109704 834;109706 919;109707 906;109708 886;109709 921;109710 860;109635 915;109651 877;109660 842;109667 822;109673 849;109675 797;109683 855;109689 870;109690 910
