
Exp3BirthRate, New Run at  03/22/2015 18:04:19
, Time,TotalArticleNum,ArticleNuminBatch
data,1241161800,20,20
data,1241162700,21,21
data,1241163600,21,20
data,1241164800,21,20
data,1241165700,21,20
data,1241166900,21,20
data,1241167800,21,20
data,1241169000,21,20
data,1241169900,21,20
data,1241171100,21,20
data,1241172000,21,20
data,1241172900,21,20
data,1241173500,21,20
data,1241174400,22,21
data,1241175000,22,21
data,1241175600,22,20
data,1241176200,22,20
data,1241176800,22,20
data,1241177400,22,20
data,1241177700,23,21
data,1241178300,23,21
data,1241178600,23,20
data,1241179200,23,20
data,1241179500,23,20
data,1241179800,23,20
data,1241180400,23,20
data,1241180700,23,20
data,1241181000,23,20
data,1241181300,23,20
data,1241181600,23,20
data,1241182200,23,20
data,1241182500,23,20
data,1241182800,23,20
data,1241183100,23,20
data,1241183400,23,20
data,1241183700,23,20
data,1241184000,23,20
data,1241184300,23,20
data,1241184600,23,20
data,1241184900,23,20
data,1241185200,23,20
data,1241185500,23,20
data,1241185500,23,20
data,1241185800,23,20
data,1241186100,24,21
data,1241186400,24,21
data,1241186700,24,20
data,1241187000,24,20
data,1241187300,24,20
data,1241187600,24,20
data,1241187900,24,20
data,1241188200,24,20
data,1241188200,24,20
data,1241188500,24,20
data,1241188800,24,20
data,1241189100,25,21
data,1241189400,25,21
data,1241189700,25,20
data,1241190000,25,20
data,1241190000,25,20
data,1241190300,25,20
data,1241190600,26,21
data,1241190900,26,21
data,1241191200,26,20
data,1241191500,26,20
data,1241191800,26,20
data,1241191800,26,20
data,1241192100,26,20
data,1241192400,26,20
data,1241192700,27,21
data,1241193000,27,21
data,1241193300,27,20
data,1241193600,27,20
data,1241193600,27,20
data,1241193900,28,21
data,1241194200,28,21
data,1241194500,28,20
data,1241194800,28,20
data,1241195100,29,21
data,1241195400,29,21
data,1241195400,29,20
data,1241195700,29,20
data,1241196000,29,20
data,1241196300,30,21
data,1241196600,30,21
data,1241196900,30,21
data,1241197200,30,21
data,1241197500,30,21
data,1241197500,30,21
data,1241197800,31,22
data,1241198100,31,22
data,1241198400,31,21
data,1241198700,32,22
data,1241199000,32,22
data,1241199300,32,22
data,1241199600,32,21
data,1241199600,32,21
data,1241199900,32,21
data,1241200200,32,21
data,1241200500,32,21
data,1241200800,32,21
data,1241201100,32,21
data,1241201400,32,21
data,1241201700,32,21
data,1241201700,32,21
data,1241202000,32,21
data,1241202300,32,21
data,1241202600,32,21
data,1241202900,32,21
data,1241203200,32,21
data,1241203500,33,22
data,1241203800,33,22
data,1241203800,33,22
data,1241204100,33,22
data,1241204400,35,24
data,1241204700,35,24
data,1241205000,35,22
data,1241205300,35,22
data,1241205600,35,22
data,1241205900,35,22
data,1241205900,35,22
data,1241206200,35,22
data,1241206500,35,22
data,1241206800,36,23
data,1241207100,36,23
data,1241207400,36,22
data,1241207700,36,22
data,1241207700,36,22
data,1241208000,36,22
data,1241208300,36,22
data,1241208600,36,22
data,1241208900,36,22
data,1241209200,38,24
data,1241209500,38,24
data,1241209500,38,24
data,1241209800,38,24
data,1241210100,38,24
data,1241210400,38,24
data,1241210700,38,24
data,1241211000,38,22
data,1241211300,38,22
data,1241211600,38,22
data,1241211600,38,22
data,1241211900,38,22
data,1241212200,38,22
data,1241212500,39,23
data,1241212800,40,24
data,1241213100,40,23
data,1241213400,40,22
data,1241213700,41,23
data,1241214000,41,23
data,1241214300,41,23
data,1241214600,41,23
data,1241214900,41,23
data,1241215200,41,23
data,1241215500,41,22
data,1241215800,41,22
data,1241216100,41,22
data,1241216400,42,23
data,1241216700,42,23
data,1241217000,42,22
data,1241217300,42,22
data,1241217600,42,22
data,1241218200,43,23
data,1241218500,43,23
data,1241218800,43,22
data,1241219100,43,22
data,1241219400,43,22
data,1241219700,43,22
data,1241220000,43,22
data,1241220300,44,23
data,1241220600,44,23
data,1241221200,44,22
data,1241221500,44,22
data,1241221800,44,22
data,1241222100,44,22
data,1241222400,44,22
data,1241222700,45,23
data,1241223300,46,24
data,1241223600,46,23
data,1241223900,46,22
data,1241224200,46,22
data,1241224500,46,22
data,1241224800,47,23
data,1241225400,47,23
data,1241225700,47,22
data,1241226000,48,23
data,1241226300,48,23
data,1241226600,48,22
data,1241226900,48,22
data,1241227500,48,22
data,1241227800,48,22
data,1241228100,48,22
data,1241228400,48,22
data,1241228700,48,22
data,1241229000,48,22
data,1241229600,48,22
data,1241229900,48,22
data,1241230200,48,22
data,1241230500,48,22
data,1241230800,48,22
data,1241231100,48,22
data,1241231700,48,22
data,1241232000,49,23
data,1241232300,49,23
data,1241232600,49,22
data,1241233200,49,22
data,1241233500,49,22
data,1241233800,49,22
data,1241234100,49,22
data,1241234700,49,22
data,1241235000,49,22
data,1241235300,49,22
data,1241235900,49,22
data,1241236200,49,22
data,1241236800,49,22
data,1241237100,49,22
data,1241237700,49,22
data,1241238000,49,22
data,1241238600,49,22
data,1241238900,49,22
data,1241239500,49,22
data,1241240100,49,22
data,1241240700,49,22
data,1241241300,49,22
data,1241241600,49,22
data,1241242500,49,22
data,1241243100,49,22
data,1241243700,50,23
data,1241244300,50,22
data,1241244900,50,22
data,1241245800,50,22
data,1241246400,50,22
data,1241247300,50,22
data,1241247300,50,19
data,1241248200,50,19
data,1241249100,50,19
data,1241249700,50,19
data,1241250900,50,19
data,1241251800,50,19
data,1241252700,50,19
data,1241253600,50,19
data,1241254800,50,19
data,1241255700,50,19
data,1241256900,50,19
data,1241257800,50,19
data,1241259000,50,19
data,1241259900,50,19
data,1241260800,50,19
data,1241261700,50,19
data,1241262300,50,19
data,1241263200,50,19
data,1241263800,50,19
data,1241264400,50,19
data,1241265000,50,19
data,1241265600,50,19
data,1241266200,50,19
data,1241266800,50,19
data,1241267400,50,19
data,1241267700,50,19
data,1241268300,50,19
data,1241268900,50,19
data,1241269200,50,19
data,1241269800,50,19
data,1241270100,50,19
data,1241270400,50,19
data,1241271000,50,19
data,1241271300,50,19
data,1241271600,50,19
data,1241272200,50,19
data,1241272500,50,19
data,1241272800,50,19
data,1241273400,50,19
data,1241273700,52,21
data,1241274000,53,22
data,1241274300,53,21
